amīcitia tristis,  Nominative,  sg.,  f , first 
amīcitiae tristis,  Genitive,  sg.,  f , first 
amīcitiae tristi,  Dative,  sg.,  f , first 
amīcitiam tristem,  Accusative,  sg.,  f , first 
amīcitiā tristi,  Ablative,  sg.,  f , first 
amīcitiae tristes,  Nominative,  pl.,  f , first 
amīcitiarum tristium,  Genitive,  pl.,  f , first 
amīcitiis tristibus,  Dative,  pl.,  f , first 
amīcitias tristes,  Accusative,  pl.,  f , first 
amīcitiis tristibus,  Ablative,  pl.,  f , first 
anima tristis,  Nominative,  sg.,  f , first 
animae tristis,  Genitive,  sg.,  f , first 
animae tristi,  Dative,  sg.,  f , first 
animam tristem,  Accusative,  sg.,  f , first 
animā tristi,  Ablative,  sg.,  f , first 
animae tristes,  Nominative,  pl.,  f , first 
animarum tristium,  Genitive,  pl.,  f , first 
animis tristibus,  Dative,  pl.,  f , first 
animas tristes,  Accusative,  pl.,  f , first 
animis tristibus,  Ablative,  pl.,  f , first 
aqua tristis,  Nominative,  sg.,  f , first 
aquae tristis,  Genitive,  sg.,  f , first 
aquae tristi,  Dative,  sg.,  f , first 
aquam tristem,  Accusative,  sg.,  f , first 
aquā tristi,  Ablative,  sg.,  f , first 
aquae tristes,  Nominative,  pl.,  f , first 
aquarum tristium,  Genitive,  pl.,  f , first 
aquis tristibus,  Dative,  pl.,  f , first 
aquas tristes,  Accusative,  pl.,  f , first 
aquis tristibus,  Ablative,  pl.,  f , first 
āra tristis,  Nominative,  sg.,  f , first 
ārae tristis,  Genitive,  sg.,  f , first 
ārae tristi,  Dative,  sg.,  f , first 
āram tristem,  Accusative,  sg.,  f , first 
ārā tristi,  Ablative,  sg.,  f , first 
ārae tristes,  Nominative,  pl.,  f , first 
ārarum tristium,  Genitive,  pl.,  f , first 
āris tristibus,  Dative,  pl.,  f , first 
āras tristes,  Accusative,  pl.,  f , first 
āris tristibus,  Ablative,  pl.,  f , first 
aura tristis,  Nominative,  sg.,  f , first 
aurae tristis,  Genitive,  sg.,  f , first 
aurae tristi,  Dative,  sg.,  f , first 
auram tristem,  Accusative,  sg.,  f , first 
aurā tristi,  Ablative,  sg.,  f , first 
aurae tristes,  Nominative,  pl.,  f , first 
aurarum tristium,  Genitive,  pl.,  f , first 
auris tristibus,  Dative,  pl.,  f , first 
auras tristes,  Accusative,  pl.,  f , first 
auris tristibus,  Ablative,  pl.,  f , first 
causa tristis,  Nominative,  sg.,  f , first 
causae tristis,  Genitive,  sg.,  f , first 
causae tristi,  Dative,  sg.,  f , first 
causam tristem,  Accusative,  sg.,  f , first 
causā tristi,  Ablative,  sg.,  f , first 
causae tristes,  Nominative,  pl.,  f , first 
causarum tristium,  Genitive,  pl.,  f , first 
causis tristibus,  Dative,  pl.,  f , first 
causas tristes,  Accusative,  pl.,  f , first 
causis tristibus,  Ablative,  pl.,  f , first 
coma tristis,  Nominative,  sg.,  f , first 
comae tristis,  Genitive,  sg.,  f , first 
comae tristi,  Dative,  sg.,  f , first 
comam tristem,  Accusative,  sg.,  f , first 
comā tristi,  Ablative,  sg.,  f , first 
comae tristes,  Nominative,  pl.,  f , first 
comarum tristium,  Genitive,  pl.,  f , first 
comis tristibus,  Dative,  pl.,  f , first 
comas tristes,  Accusative,  pl.,  f , first 
comis tristibus,  Ablative,  pl.,  f , first 
cōpia tristis,  Nominative,  sg.,  f , first 
cōpiae tristis,  Genitive,  sg.,  f , first 
cōpiae tristi,  Dative,  sg.,  f , first 
cōpiam tristem,  Accusative,  sg.,  f , first 
cōpiā tristi,  Ablative,  sg.,  f , first 
cōpiae tristes,  Nominative,  pl.,  f , first 
cōpiarum tristium,  Genitive,  pl.,  f , first 
cōpiis tristibus,  Dative,  pl.,  f , first 
cōpias tristes,  Accusative,  pl.,  f , first 
cōpiis tristibus,  Ablative,  pl.,  f , first 
culpa tristis,  Nominative,  sg.,  f , first 
culpae tristis,  Genitive,  sg.,  f , first 
culpae tristi,  Dative,  sg.,  f , first 
culpam tristem,  Accusative,  sg.,  f , first 
culpā tristi,  Ablative,  sg.,  f , first 
culpae tristes,  Nominative,  pl.,  f , first 
culparum tristium,  Genitive,  pl.,  f , first 
culpis tristibus,  Dative,  pl.,  f , first 
culpas tristes,  Accusative,  pl.,  f , first 
culpis tristibus,  Ablative,  pl.,  f , first 
cūra tristis,  Nominative,  sg.,  f , first 
cūrae tristis,  Genitive,  sg.,  f , first 
cūrae tristi,  Dative,  sg.,  f , first 
cūram tristem,  Accusative,  sg.,  f , first 
cūrā tristi,  Ablative,  sg.,  f , first 
cūrae tristes,  Nominative,  pl.,  f , first 
cūrarum tristium,  Genitive,  pl.,  f , first 
cūris tristibus,  Dative,  pl.,  f , first 
cūras tristes,  Accusative,  pl.,  f , first 
cūris tristibus,  Ablative,  pl.,  f , first 
disciplīna tristis,  Nominative,  sg.,  f , first 
disciplīnae tristis,  Genitive,  sg.,  f , first 
disciplīnae tristi,  Dative,  sg.,  f , first 
disciplīnam tristem,  Accusative,  sg.,  f , first 
disciplīnā tristi,  Ablative,  sg.,  f , first 
disciplīnae tristes,  Nominative,  pl.,  f , first 
disciplīnarum tristium,  Genitive,  pl.,  f , first 
disciplīnis tristibus,  Dative,  pl.,  f , first 
disciplīnas tristes,  Accusative,  pl.,  f , first 
disciplīnis tristibus,  Ablative,  pl.,  f , first 
epistula tristis,  Nominative,  sg.,  f , first 
epistulae tristis,  Genitive,  sg.,  f , first 
epistulae tristi,  Dative,  sg.,  f , first 
epistulam tristem,  Accusative,  sg.,  f , first 
epistulā tristi,  Ablative,  sg.,  f , first 
epistulae tristes,  Nominative,  pl.,  f , first 
epistularum tristium,  Genitive,  pl.,  f , first 
epistulis tristibus,  Dative,  pl.,  f , first 
epistulas tristes,  Accusative,  pl.,  f , first 
epistulis tristibus,  Ablative,  pl.,  f , first 
fābula tristis,  Nominative,  sg.,  f , first 
fābulae tristis,  Genitive,  sg.,  f , first 
fābulae tristi,  Dative,  sg.,  f , first 
fābulam tristem,  Accusative,  sg.,  f , first 
fābulā tristi,  Ablative,  sg.,  f , first 
fābulae tristes,  Nominative,  pl.,  f , first 
fābularum tristium,  Genitive,  pl.,  f , first 
fābulis tristibus,  Dative,  pl.,  f , first 
fābulas tristes,  Accusative,  pl.,  f , first 
fābulis tristibus,  Ablative,  pl.,  f , first 
fāma tristis,  Nominative,  sg.,  f , first 
fāmae tristis,  Genitive,  sg.,  f , first 
fāmae tristi,  Dative,  sg.,  f , first 
fāmam tristem,  Accusative,  sg.,  f , first 
fāmā tristi,  Ablative,  sg.,  f , first 
fāmae tristes,  Nominative,  pl.,  f , first 
fāmarum tristium,  Genitive,  pl.,  f , first 
fāmis tristibus,  Dative,  pl.,  f , first 
fāmas tristes,  Accusative,  pl.,  f , first 
fāmis tristibus,  Ablative,  pl.,  f , first 
familia tristis,  Nominative,  sg.,  f , first 
familiae tristis,  Genitive,  sg.,  f , first 
familiae tristi,  Dative,  sg.,  f , first 
familiam tristem,  Accusative,  sg.,  f , first 
familiā tristi,  Ablative,  sg.,  f , first 
familiae tristes,  Nominative,  pl.,  f , first 
familiarum tristium,  Genitive,  pl.,  f , first 
familiis tristibus,  Dative,  pl.,  f , first 
familias tristes,  Accusative,  pl.,  f , first 
familiis tristibus,  Ablative,  pl.,  f , first 
fēmina tristis,  Nominative,  sg.,  f , first 
fēminae tristis,  Genitive,  sg.,  f , first 
fēminae tristi,  Dative,  sg.,  f , first 
fēminam tristem,  Accusative,  sg.,  f , first 
fēminā tristi,  Ablative,  sg.,  f , first 
fēminae tristes,  Nominative,  pl.,  f , first 
fēminarum tristium,  Genitive,  pl.,  f , first 
fēminis tristibus,  Dative,  pl.,  f , first 
fēminas tristes,  Accusative,  pl.,  f , first 
fēminis tristibus,  Ablative,  pl.,  f , first 
flamma tristis,  Nominative,  sg.,  f , first 
